day,net_holder_change,cumulative_holder_count
2026-08-01 00:00:00.000 UTC,5,5
2026-08-02 00:00:00.000 UTC,61,66
2026-08-03 00:00:00.000 UTC,21,87
2026-08-04 00:00:00.000 UTC,9,96
2026-08-05 00:00:00.000 UTC,10,106
2026-08-06 00:00:00.000 UTC,4,110
2026-08-07 00:00:00.000 UTC,2,112
2026-08-08 00:00:00.000 UTC,17,129
2026-08-09 00:00:00.000 UTC,-1,128
2026-08-10 00:00:00.000 UTC,8,136
2026-08-11 00:00:00.000 UTC,6,142
2026-08-12 00:00:00.000 UTC,2,144
2026-08-13 00:00:00.000 UTC,6,150
2026-08-14 00:00:00.000 UTC,5,155
2026-08-15 00:00:00.000 UTC,7,162
2026-08-16 00:00:00.000 UTC,8,170
2026-08-17 00:00:00.000 UTC,27,197
2026-08-18 00:00:00.000 UTC,42,239
2026-08-19 00:00:00.000 UTC,17,256
2026-08-20 00:00:00.000 UTC,34,290
2026-08-21 00:00:00.000 UTC,37,327
2026-08-22 00:00:00.000 UTC,74,401
2026-08-23 00:00:00.000 UTC,26,427
2026-08-24 00:00:00.000 UTC,28,455
2026-08-25 00:00:00.000 UTC,35,490
2026-08-26 00:00:00.000 UTC,25,515
2026-08-27 00:00:00.000 UTC,15,530
2026-08-28 00:00:00.000 UTC,8,538
2026-08-29 00:00:00.000 UTC,21,559
2026-08-30 00:00:00.000 UTC,9,568
2026-08-31 00:00:00.000 UTC,10,578
2026-09-01 00:00:00.000 UTC,3,581
2026-09-02 00:00:00.000 UTC,9,590
2026-09-03 00:00:00.000 UTC,13,603
2026-09-04 00:00:00.000 UTC,-2,601
2026-09-05 00:00:00.000 UTC,5,606
2026-09-06 00:00:00.000 UTC,-1,605
2026-09-07 00:00:00.000 UTC,0,605
2026-09-08 00:00:00.000 UTC,0,605
2026-09-09 00:00:00.000 UTC,8,613
2026-09-10 00:00:00.000 UTC,7,620
2026-09-11 00:00:00.000 UTC,9,629
2026-09-12 00:00:00.000 UTC,6,635
2026-09-13 00:00:00.000 UTC,4,639
2026-09-14 00:00:00.000 UTC,2,641
2026-09-15 00:00:00.000 UTC,7,648
2026-09-16 00:00:00.000 UTC,9,657
2026-09-17 00:00:00.000 UTC,4,661
2026-09-18 00:00:00.000 UTC,3,664
2026-09-19 00:00:00.000 UTC,8,672
2026-09-20 00:00:00.000 UTC,10,682
2026-09-21 00:00:00.000 UTC,8,690
